year,sex,age,suicides_no,population,suicides/100k_pop,country-year,HDI_for_year,gdp_for_year,gdp_per_capita,generation
2000,1,2,96.0,3400584,2.82,Colombia2000,0.654,99.887,2755,3
2000,1,3,99.0,4710061,2.1,Colombia2000,0.654,99.887,2755,2
2000,1,5,6.0,409711,1.46,Colombia2000,0.654,99.887,2755,0
2000,1,0,57.0,4209864,1.35,Colombia2000,0.654,99.887,2755,4
2000,1,4,23.0,1738797,1.32,Colombia2000,0.654,99.887,2755,1
2000,0,0,37.0,4378953,0.84,Colombia2000,0.654,99.887,2755,4
2001,0,5,54.0,304065,17.76,Colombia2001,0.67,98.204,2662,1
2001,0,4,234.0,1547265,15.12,Colombia2001,0.67,98.204,2662,1
2001,0,1,602.0,4057598,14.84,Colombia2001,0.67,98.204,2662,4
2001,0,2,439.0,3328209,13.19,Colombia2001,0.67,98.204,2662,3
2001,0,3,491.0,4555809,10.78,Colombia2001,0.67,98.204,2662,2
2001,1,1,302.0,3976430,7.59,Colombia2001,0.67,98.204,2662,4
2001,1,2,105.0,3416780,3.07,Colombia2001,0.67,98.204,2662,3
2001,1,4,30.0,1803020,1.66,Colombia2001,0.67,98.204,2662,1
2001,1,3,71.0,4884700,1.45,Colombia2001,0.67,98.204,2662,2
2001,1,0,45.0,4206893,1.07,Colombia2001,0.67,98.204,2662,4
2001,1,5,4.0,427591,0.94,Colombia2001,0.67,98.204,2662,1
2001,0,0,35.0,4376068,0.8,Colombia2001,0.67,98.204,2662,4
2002,0,5,48.0,316252,15.18,Colombia2002,0.67,97.933,2613,1
2002,0,1,590.0,4104822,14.37,Colombia2002,0.67,97.933,2613,4
2002,0,2,460.0,3344207,13.76,Colombia2002,0.67,97.933,2613,3
2002,0,4,177.0,1609818,11.0,Colombia2002,0.67,97.933,2613,1
2002,0,3,487.0,4717038,10.32,Colombia2002,0.67,97.933,2613,2
2002,1,1,295.0,4019790,7.34,Colombia2002,0.67,97.933,2613,4
2002,1,2,92.0,3430874,2.68,Colombia2002,0.67,97.933,2613,3
2002,1,3,81.0,5056712,1.6,Colombia2002,0.67,97.933,2613,2
2002,1,0,64.0,4195227,1.53,Colombia2002,0.67,97.933,2613,4
2002,1,4,28.0,1874594,1.49,Colombia2002,0.67,97.933,2613,1
2002,0,0,53.0,4364710,1.21,Colombia2002,0.67,97.933,2613,4
2002,1,5,4.0,444232,0.9,Colombia2002,0.67,97.933,2613,1
2003,0,5,49.0,327352,14.97,Colombia2003,0.67,94.685,2489,1
2003,0,4,235.0,1679338,13.99,Colombia2003,0.67,94.685,2489,1
2003,0,2,424.0,3363500,12.61,Colombia2003,0.67,94.685,2489,3
2003,0,1,508.0,4143231,12.26,Colombia2003,0.67,94.685,2489,4
2003,0,3,441.0,4872021,9.05,Colombia2003,0.67,94.685,2489,2
2003,1,1,299.0,4053688,7.38,Colombia2003,0.67,94.685,2489,4
2003,1,2,93.0,3447910,2.7,Colombia2003,0.67,94.685,2489,3
2003,1,3,96.0,5222660,1.84,Colombia2003,0.67,94.685,2489,2
2003,1,4,35.0,1953968,1.79,Colombia2003,0.67,94.685,2489,1
2003,1,5,6.0,460065,1.3,Colombia2003,0.67,94.685,2489,1
2003,1,0,48.0,4175544,1.15,Colombia2003,0.67,94.685,2489,4
2003,0,0,35.0,4345236,0.81,Colombia2003,0.67,94.685,2489,4
2004,0,5,74.0,337747,21.91,Colombia2004,0.67,117.075,3033,1
2004,0,4,229.0,1756739,13.04,Colombia2004,0.67,117.075,3033,1
2004,0,1,522.0,4177514,12.5,Colombia2004,0.67,117.075,3033,4
2004,0,2,397.0,3393144,11.7,Colombia2004,0.67,117.075,3033,3
2004,0,3,465.0,5016477,9.27,Colombia2004,0.67,117.075,3033,2
2004,1,1,246.0,4082601,6.03,Colombia2004,0.67,117.075,3033,4
2004,1,2,91.0,3474885,2.62,Colombia2004,0.67,117.075,3033,3
2004,1,5,9.0,475649,1.89,Colombia2004,0.67,117.075,3033,1
2004,1,3,85.0,5378213,1.58,Colombia2004,0.67,117.075,3033,2
2004,1,4,29.0,2041937,1.42,Colombia2004,0.67,117.075,3033,1
2004,0,0,56.0,4319787,1.3,Colombia2004,0.67,117.075,3033,4
2004,1,0,41.0,4150023,0.99,Colombia2004,0.67,117.075,3033,4
2005,0,5,63.0,347667,18.12,Colombia2005,0.679,146.566,3742,1
2005,0,1,517.0,4209960,12.28,Colombia2005,0.679,146.566,3742,4
2005,0,4,219.0,1842503,11.89,Colombia2005,0.679,146.566,3742,1
2005,0,2,352.0,3436781,10.24,Colombia2005,0.679,146.566,3742,3
2005,0,3,434.0,5147445,8.43,Colombia2005,0.679,146.566,3742,2
2005,1,1,225.0,4108824,5.48,Colombia2005,0.679,146.566,3742,4
2005,1,2,93.0,3515419,2.65,Colombia2005,0.679,146.566,3742,3
2005,1,3,87.0,5520328,1.58,Colombia2005,0.679,146.566,3742,2
2005,1,4,27.0,2138822,1.26,Colombia2005,0.679,146.566,3742,1
2005,0,0,52.0,4291635,1.21,Colombia2005,0.679,146.566,3742,4
2005,1,5,5.0,491399,1.02,Colombia2005,0.679,146.566,3742,1
2005,1,0,28.0,4122007,0.68,Colombia2005,0.679,146.566,3742,4
2006,0,5,78.0,363411,21.46,Colombia2006,0.67,162.59,4095,1
2006,0,1,521.0,4229825,12.32,Colombia2006,0.67,162.59,4095,4
2006,0,2,408.0,3492325,11.68,Colombia2006,0.67,162.59,4095,3
2006,0,4,211.0,1925991,10.96,Colombia2006,0.67,162.59,4095,1
2006,0,3,453.0,5261515,8.61,Colombia2006,0.67,162.59,4095,2
2006,1,1,197.0,4126897,4.77,Colombia2006,0.67,162.59,4095,4
2006,1,2,96.0,3566953,2.69,Colombia2006,0.67,162.59,4095,3
2006,1,3,90.0,5642326,1.6,Colombia2006,0.67,162.59,4095,2
2006,1,4,33.0,2234226,1.48,Colombia2006,0.67,162.59,4095,1
2006,0,0,46.0,4260456,1.08,Colombia2006,0.67,162.59,4095,4
2006,1,0,40.0,4092360,0.98,Colombia2006,0.67,162.59,4095,4
2006,1,5,4.0,512391,0.78,Colombia2006,0.67,162.59,4095,1
2007,0,5,67.0,378405,17.71,Colombia2007,0.67,207.416,5150,1
2007,0,4,245.0,2018827,12.14,Colombia2007,0.67,207.416,5150,1
2007,0,1,493.0,4248033,11.61,Colombia2007,0.67,207.416,5150,4
2007,0,2,410.0,3562854,11.51,Colombia2007,0.67,207.416,5150,3
2007,0,3,475.0,5364516,8.85,Colombia2007,0.67,207.416,5150,2
2007,1,1,208.0,4142290,5.02,Colombia2007,0.67,207.416,5150,4
2007,1,2,105.0,3633920,2.89,Colombia2007,0.67,207.416,5150,3
2007,1,3,82.0,5752377,1.43,Colombia2007,0.67,207.416,5150,2
2007,1,0,40.0,4066699,0.98,Colombia2007,0.67,207.416,5150,5
2007,0,0,37.0,4234298,0.87,Colombia2007,0.67,207.416,5150,5
2007,1,4,16.0,2339825,0.68,Colombia2007,0.67,207.416,5150,1
2007,1,5,3.0,533162,0.56,Colombia2007,0.67,207.416,5150,1
2008,0,5,69.0,392608,17.57,Colombia2008,0.67,243.982,5971,1
2008,0,4,250.0,2119709,11.79,Colombia2008,0.67,243.982,5971,1
2008,0,2,417.0,3641000,11.45,Colombia2008,0.67,243.982,5971,3
2008,0,1,479.0,4263159,11.24,Colombia2008,0.67,243.982,5971,4
2008,0,3,510.0,5459636,9.34,Colombia2008,0.67,243.982,5971,2
2008,1,1,206.0,4153413,4.96,Colombia2008,0.67,243.982,5971,4
2008,1,2,85.0,3709016,2.29,Colombia2008,0.67,243.982,5971,3
2008,1,3,82.0,5853848,1.4,Colombia2008,0.67,243.982,5971,2
2008,0,0,47.0,4213275,1.12,Colombia2008,0.67,243.982,5971,5
2008,1,4,27.0,2454148,1.1,Colombia2008,0.67,243.982,5971,1
2008,1,0,43.0,4045559,1.06,Colombia2008,0.67,243.982,5971,5
2008,1,5,5.0,553758,0.9,Colombia2008,0.67,243.982,5971,1
2009,0,5,72.0,405866,17.74,Colombia2009,0.67,233.822,5643,1
2009,0,2,426.0,3715402,11.47,Colombia2009,0.67,233.822,5643,3
2009,0,4,252.0,2226378,11.32,Colombia2009,0.67,233.822,5643,1
2009,0,1,481.0,4272494,11.26,Colombia2009,0.67,233.822,5643,4
2009,0,3,517.0,5552239,9.31,Colombia2009,0.67,233.822,5643,2
2009,1,1,207.0,4157810,4.98,Colombia2009,0.67,233.822,5643,4
2009,1,2,72.0,3780652,1.9,Colombia2009,0.67,233.822,5643,3
2009,1,4,46.0,2574750,1.79,Colombia2009,0.67,233.822,5643,1
2009,1,3,87.0,5952480,1.46,Colombia2009,0.67,233.822,5643,2
2009,0,0,54.0,4196033,1.29,Colombia2009,0.67,233.822,5643,5
2009,1,0,32.0,4027989,0.79,Colombia2009,0.67,233.822,5643,5
2009,1,5,3.0,574080,0.52,Colombia2009,0.67,233.822,5643,1
2010,0,5,65.0,418296,15.54,Colombia2010,0.706,287.018,6836,1
2010,0,2,436.0,3779392,11.54,Colombia2010,0.706,287.018,6836,3
2010,0,1,480.0,4274849,11.23,Colombia2010,0.706,287.018,6836,4
2010,0,4,225.0,2337537,9.63,Colombia2010,0.706,287.018,6836,1
2010,0,3,463.0,5646115,8.2,Colombia2010,0.706,287.018,6836,3
2010,1,1,187.0,4154664,4.5,Colombia2010,0.706,287.018,6836,4
2010,1,2,78.0,3841659,2.03,Colombia2010,0.706,287.018,6836,3
2010,1,3,72.0,6052417,1.19,Colombia2010,0.706,287.018,6836,3
2010,0,0,41.0,4178908,0.98,Colombia2010,0.706,287.018,6836,5
2010,1,0,39.0,4010759,0.97,Colombia2010,0.706,287.018,6836,5
2010,1,5,5.0,594329,0.84,Colombia2010,0.706,287.018,6836,1
2010,1,4,16.0,2700178,0.59,Colombia2010,0.706,287.018,6836,1
2011,0,5,60.0,436385,13.75,Colombia2011,0.713,335.415,7885,1
2011,0,1,450.0,4268385,10.54,Colombia2011,0.713,335.415,7885,4
2011,0,2,382.0,3840952,9.95,Colombia2011,0.713,335.415,7885,4
2011,0,4,231.0,2445112,9.45,Colombia2011,0.713,335.415,7885,2
2011,0,3,498.0,5745871,8.67,Colombia2011,0.713,335.415,7885,3
2011,1,1,159.0,4147875,3.83,Colombia2011,0.713,335.415,7885,4
2011,1,2,69.0,3897562,1.77,Colombia2011,0.713,335.415,7885,4
2011,1,3,87.0,6156452,1.41,Colombia2011,0.713,335.415,7885,3
2011,1,4,29.0,2822325,1.03,Colombia2011,0.713,335.415,7885,2
2011,0,0,41.0,4163139,0.98,Colombia2011,0.713,335.415,7885,5
2011,1,0,34.0,3995726,0.85,Colombia2011,0.713,335.415,7885,5
2011,1,5,4.0,618521,0.65,Colombia2011,0.713,335.415,7885,1
2012,0,5,69.0,453582,15.21,Colombia2012,0.715,369.66,8586,1
2012,0,1,486.0,4254495,11.42,Colombia2012,0.715,369.66,8586,4
2012,0,2,412.0,3891260,10.59,Colombia2012,0.715,369.66,8586,4
2012,0,4,266.0,2556199,10.41,Colombia2012,0.715,369.66,8586,2
2012,0,3,455.0,5846650,7.78,Colombia2012,0.715,369.66,8586,3
2012,1,1,151.0,4133625,3.65,Colombia2012,0.715,369.66,8586,4
2012,1,2,73.0,3942505,1.85,Colombia2012,0.715,369.66,8586,4
2012,1,4,41.0,2948489,1.39,Colombia2012,0.715,369.66,8586,2
2012,1,3,83.0,6261133,1.33,Colombia2012,0.715,369.66,8586,3
2012,0,0,44.0,4146398,1.06,Colombia2012,0.715,369.66,8586,5
2012,1,5,6.0,642251,0.93,Colombia2012,0.715,369.66,8586,1
2012,1,0,33.0,3979277,0.83,Colombia2012,0.715,369.66,8586,5
2013,0,5,69.0,470105,14.68,Colombia2013,0.718,380.192,8731,1
2013,0,1,450.0,4235904,10.62,Colombia2013,0.718,380.192,8731,4
2013,0,4,260.0,2672132,9.73,Colombia2013,0.718,380.192,8731,2
2013,0,2,381.0,3931611,9.69,Colombia2013,0.718,380.192,8731,4
2013,0,3,462.0,5947520,7.77,Colombia2013,0.718,380.192,8731,3
2013,1,1,141.0,4114036,3.43,Colombia2013,0.718,380.192,8731,4
2013,1,2,81.0,3977885,2.04,Colombia2013,0.718,380.192,8731,4
2013,1,3,101.0,6365459,1.59,Colombia2013,0.718,380.192,8731,3
2013,1,4,41.0,3079952,1.33,Colombia2013,0.718,380.192,8731,2
2013,0,0,41.0,4126269,0.99,Colombia2013,0.718,380.192,8731,5
2013,1,0,36.0,3959475,0.91,Colombia2013,0.718,380.192,8731,5
2013,1,5,5.0,665950,0.75,Colombia2013,0.718,380.192,8731,1
2014,0,5,83.0,486197,17.07,Colombia2014,0.72,378.196,8591,1
2014,0,1,480.0,4216293,11.38,Colombia2014,0.72,378.196,8591,4
2014,0,4,283.0,2795271,10.12,Colombia2014,0.72,378.196,8591,2
2014,0,2,395.0,3965410,9.96,Colombia2014,0.72,378.196,8591,4
2014,0,3,477.0,6046987,7.89,Colombia2014,0.72,378.196,8591,3
2014,1,1,132.0,4092325,3.23,Colombia2014,0.72,378.196,8591,4
2014,1,2,82.0,4007103,2.05,Colombia2014,0.72,378.196,8591,4
2014,1,4,43.0,3219142,1.34,Colombia2014,0.72,378.196,8591,2
2014,1,3,82.0,6467724,1.27,Colombia2014,0.72,378.196,8591,3
2014,0,0,37.0,4100740,0.9,Colombia2014,0.72,378.196,8591,5
2014,1,5,5.0,690028,0.72,Colombia2014,0.72,378.196,8591,1
2014,1,0,27.0,3934580,0.69,Colombia2014,0.72,378.196,8591,5
2015,0,5,82.0,502228,16.33,Colombia2015,0.67,291.52,6552,1
2015,0,1,473.0,4197599,11.27,Colombia2015,0.67,291.52,6552,4
2015,0,4,317.0,2926656,10.83,Colombia2015,0.67,291.52,6552,2
2015,0,2,379.0,3994717,9.49,Colombia2015,0.67,291.52,6552,4
2015,0,3,560.0,6143478,9.12,Colombia2015,0.67,291.52,6552,3
2015,1,1,176.0,4070390,4.32,Colombia2015,0.67,291.52,6552,4
2015,1,2,111.0,4031995,2.75,Colombia2015,0.67,291.52,6552,4
2015,1,3,96.0,6566323,1.46,Colombia2015,0.67,291.52,6552,3
2015,1,5,10.0,715044,1.4,Colombia2015,0.67,291.52,6552,1
2015,1,4,45.0,3367078,1.34,Colombia2015,0.67,291.52,6552,2
2015,1,0,44.0,3904896,1.13,Colombia2015,0.67,291.52,6552,5
2015,0,0,39.0,4070023,0.96,Colombia2015,0.67,291.52,6552,5
